Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-15701M,,,Name:,SpdCoach 2739254,,,Firmware:,---,,,Boat ID:,---
Start Time:,07/10/23 11:30,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2739254,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.23,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,15701.3,0.0,01:11:04.5,00:02:15.8,3.68,00:00:00.0,0.00,22.5,1611,9.7,0.0,---,---,---,---,---,---,---,---,---,---,46.61144870,14.04901370


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,15701.3,0.0,01:11:04.5,00:02:15.8,3.68,00:00:00.0,0.00,22.5,1611,9.7,0.0,---,---,---,---,---,---,---,---,---,---,46.61144870,14.04901370



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.1,0.0,00:00:04.0,00:07:00.1,1.19,00:00:00.0,0.00,15.0,1,1.1,0.0,---,---,---,---,---,---,---,---,---,---,46.61144870,14.04901370
1,1.9,0.0,00:00:07.0,00:33:20.0,0.25,00:00:00.0,0.00,21.0,2,0.8,0.0,---,---,---,---,---,---,---,---,---,---,46.61144730,14.04902400
1,2.2,0.0,00:00:08.3,00:34:43.3,0.24,00:00:00.0,0.00,63.0,3,0.3,0.0,---,---,---,---,---,---,---,---,---,---,46.61144640,14.04902730
1,2.5,0.0,00:00:09.4,00:34:43.3,0.24,00:00:00.0,0.00,38.5,4,0.3,0.0,---,---,---,---,---,---,---,---,---,---,46.61144570,14.04903160
1,3.2,0.0,00:00:11.4,00:33:20.0,0.25,00:00:00.0,0.00,37.0,5,0.7,0.0,---,---,---,---,---,---,---,---,---,---,46.61144370,14.04903980
1,3.4,0.0,00:00:11.8,00:26:02.4,0.32,00:00:00.0,0.00,63.0,6,0.2,0.0,---,---,---,---,---,---,---,---,---,---,46.61144370,14.04904290
1,4.5,0.0,00:00:14.7,00:23:08.8,0.36,00:00:00.0,0.00,22.0,7,1.1,0.0,---,---,---,---,---,---,---,---,---,---,46.61144330,14.04905690
1,10.6,0.0,00:00:25.9,00:12:26.2,0.67,00:00:00.0,0.00,17.5,8,6.1,0.0,---,---,---,---,---,---,---,---,---,---,46.61148150,14.04922810
1,18.2,0.0,00:00:28.0,00:04:06.3,2.03,00:00:00.0,0.00,26.0,9,7.7,0.0,---,---,---,---,---,---,---,---,---,---,46.61150230,14.04932350
1,27.2,0.0,00:00:30.4,00:02:31.0,3.31,00:00:00.0,0.00,24.5,10,9.0,0.0,---,---,---,---,---,---,---,---,---,---,46.61152460,14.04943670
1,37.2,0.0,00:00:33.0,00:02:14.7,3.71,00:00:00.0,0.00,23.0,11,10.0,0.0,---,---,---,---,---,---,---,---,---,---,46.61154560,14.04956350
1,47.2,0.0,00:00:35.6,00:02:09.8,3.85,00:00:00.0,0.00,23.5,12,10.0,0.0,---,---,---,---,---,---,---,---,---,---,46.61156790,14.04969040
1,57.3,0.0,00:00:38.2,00:02:09.1,3.87,00:00:00.0,0.00,23.5,13,10.1,0.0,---,---,---,---,---,---,---,---,---,---,46.61159040,14.04981790
1,66.8,0.0,00:00:40.9,00:02:07.8,3.91,00:00:00.0,0.00,23.0,14,9.6,0.0,---,---,---,---,---,---,---,---,---,---,46.61160880,14.04994030
1,77.5,0.0,00:00:43.4,00:02:06.5,3.95,00:00:00.0,0.00,23.0,15,10.7,0.0,---,---,---,---,---,---,---,---,---,---,46.61162940,14.05007630
1,87.0,0.0,00:00:45.8,00:02:08.5,3.89,00:00:00.0,0.00,24.5,16,9.5,0.0,---,---,---,---,---,---,---,---,---,---,46.61164680,14.05019730
